DOC,Respiration
0.249878935,1.723880597
0.276997579,2.014925373
0.237288136,2.970149254
0.423244552,2.097014925
0.414527845,2.970149254
0.480387409,2.544776119
0.580145278,3.582089552
0.736077482,3.335820896
0.75157385,4.574626866
0.74188862,5.097014925
0.759322034,5.291044776
0.849394673,5.305970149
0.834866828,5.895522388
0.760290557,6.320895522
0.750605327,6.171641791
0.699273608,6.02238806
0.599515738,5.47761194
0.6062954,5.208955224
0.609200969,4.574626866
0.552058111,4.962686567
0.539467312,4.880597015
0.468765133,5.02238806
0.410653753,4.962686567
0.446489104,4.440298507
